"Название события","Комментарий к событию","Количество клиентских событий","Количество клиентских событий","Количество устройств, достигших клиентского события","Количество устройств, достигших клиентского события","Событий на устройство","Процент устройств, достигших клиентского события"
"Purchase_House_To_Step_Risk","Не определено","6","0.005115089514066497","2","0.2222222222222222","0.4","0.13333333333333333"
"Purchase_Mite_PriceList_Tap","Не определено","6","0.005115089514066497","1","0.1111111111111111","0.4","0.06666666666666667"
"Purchase_Mite_Type_List","Не определено","6","0.005115089514066497","1","0.1111111111111111","0.4","0.06666666666666667"
"Purchase_Sport_Count_Open","Не определено","6","0.005115089514066497","3","0.33333333333333337","0.4","0.2"
"Purchase_Sport_Days_Open","Не определено","6","0.005115089514066497","3","0.33333333333333337","0.4","0.2"
"Purchase_Sport_To_Days","Не определено","6","0.005115089514066497","3","0.33333333333333337","0.4","0.2"
"Purchase_Sport_To_Step_Count","Не определено","6","0.005115089514066497","3","0.33333333333333337","0.4","0.2"
"Purchase_Sport_To_Step_YourData","Не определено","6","0.005115089514066497","3","0.33333333333333337","0.4","0.2"
"SmthWentWrong","Не определено","6","0.005115089514066497","4","0.4444444444444444","0.4","0.26666666666666666"
"Purchase_Flat_Addrisk_Open","Не определено","5","0.004262574595055414","4","0.4444444444444444","0.3333333333333333","0.26666666666666666"
"Purchase_Flat_To_Step_AddRisk","Не определено","5","0.004262574595055414","4","0.4444444444444444","0.3333333333333333","0.26666666666666666"
"Purchase_House_Cover_Open","Не определено","5","0.004262574595055414","2","0.2222222222222222","0.3333333333333333","0.13333333333333333"
"Purchase_House_Start_Open","Не определено","5","0.004262574595055414","3","0.33333333333333337","0.3333333333333333","0.2"
"Purchase_House_To_Step_Coverage","Не определено","5","0.004262574595055414","2","0.2222222222222222","0.3333333333333333","0.13333333333333333"
"Purchase_IFL_Payment_Success","Не определено","5","0.004262574595055414","3","0.33333333333333337","0.3333333333333333","0.2"
"Purchase_IFL_To_Step_8_Docs","Не определено","5","0.004262574595055414","3","0.33333333333333337","0.3333333333333333","0.2"
"Purchase_IFL_To_Step_9_Pay","Не определено","5","0.004262574595055414","3","0.33333333333333337","0.3333333333333333","0.2"
"Purchase_Pet_Cover_Open","Не определено","5","0.004262574595055414","3","0.33333333333333337","0.3333333333333333","0.2"
"Purchase_Pet_To_Step_Coverage","Не определено","5","0.004262574595055414","3","0.33333333333333337","0.3333333333333333","0.2"
"Purchase_Sport_Confirm_Open","Не определено","5","0.004262574595055414","2","0.2222222222222222","0.3333333333333333","0.13333333333333333"
"Purchase_Sport_Cover_Open","Не определено","5","0.004262574595055414","2","0.2222222222222222","0.3333333333333333","0.13333333333333333"
"Purchase_Sport_Data_Open","Не определено","5","0.004262574595055414","2","0.2222222222222222","0.3333333333333333","0.13333333333333333"
"Purchase_Sport_To_Step_Confirm","Не определено","5","0.004262574595055414","2","0.2222222222222222","0.3333333333333333","0.13333333333333333"
"Purchase_Sport_To_Step_Coverage","Не определено","5","0.004262574595055414","2","0.2222222222222222","0.3333333333333333","0.13333333333333333"
"Purchase_Sport_To_Step_Data","Не определено","5","0.004262574595055414","2","0.2222222222222222","0.3333333333333333","0.13333333333333333"
"Purchase_Sport_Yourdata_Open","Не определено","5","0.004262574595055414","3","0.33333333333333337","0.3333333333333333","0.2"
"Purchase_Flat_Address_Open","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Flat_Confirm_Open","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Flat_Cover_Open","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Flat_Period_Open","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
"Purchase_Flat_To_Step_Confirm","Не определено","4","0.0034100596760443308","3","0.33333333333333337","0.26666666666666666","0.2"
