"Название события","Комментарий к событию","Количество клиентских событий","Количество клиентских событий","Количество устройств, достигших клиентского события","Количество устройств, достигших клиентского события","Событий на устройство","Процент устройств, достигших клиентского события"
"Purchase_Mite_To_Step_Data","Не определено","5","0.004173622704507512","2","0.4","1.0","0.4"
"Purchase_Mite_To_Step_Docs","Не определено","5","0.004173622704507512","2","0.4","1.0","0.4"
"Purchase_Mite_To_Step_Pay","Не определено","5","0.004173622704507512","2","0.4","1.0","0.4"
"Purchase_Sport_To_Step_Confirm","Не определено","5","0.004173622704507512","2","0.4","1.0","0.4"
"Purchase_Sport_To_Step_Data","Не определено","5","0.004173622704507512","2","0.4","1.0","0.4"
"Purchase_Sport_To_Step_YourData","Не определено","5","0.004173622704507512","2","0.4","1.0","0.4"
"Purchase_VZR_Start","Не определено","5","0.004173622704507512","2","0.4","1.0","0.4"
"Purchase_VZR_Start_Open","Не определено","5","0.004173622704507512","2","0.4","1.0","0.4"
"Manage_Parameter_Explanation_Sub","Не определено","4","0.00333889816360601","1","0.2","0.8","0.2"
"Purchase_Flat_Address_Open","Не определено","4","0.00333889816360601","3","0.6","0.8","0.6"
"Purchase_Flat_Cover_Open","Не определено","4","0.00333889816360601","3","0.6","0.8","0.6"
"Purchase_Flat_Period_Open","Не определено","4","0.00333889816360601","3","0.6","0.8","0.6"
"Purchase_Flat_Risk_Open","Не определено","4","0.00333889816360601","3","0.6","0.8","0.6"
"Purchase_Flat_To_Step_Coverage","Не определено","4","0.00333889816360601","3","0.6","0.8","0.6"
"Purchase_Flat_To_Step_Period","Не определено","4","0.00333889816360601","3","0.6","0.8","0.6"
"Purchase_Flat_To_Step_Risk","Не определено","4","0.00333889816360601","3","0.6","0.8","0.6"
"Purchase_Flat_To_Step_Yourdata","Не определено","4","0.00333889816360601","3","0.6","0.8","0.6"
"Purchase_Flat_Yourdata_Open","Не определено","4","0.00333889816360601","3","0.6","0.8","0.6"
"Purchase_House_Cover_Open","Не определено","4","0.00333889816360601","2","0.4","0.8","0.4"
"Purchase_House_To_Step_Coverage","Не определено","4","0.00333889816360601","2","0.4","0.8","0.4"
"Purchase_IFL_To_Auth","Не определено","4","0.00333889816360601","3","0.6","0.8","0.6"
"Purchase_Mite_Itsme","Не определено","4","0.00333889816360601","2","0.4","0.8","0.4"
"Purchase_Mite_Me_Tap","Не определено","4","0.00333889816360601","2","0.4","0.8","0.4"
"Purchase_Mite_Price_Open","Не определено","4","0.00333889816360601","2","0.4","0.8","0.4"
"Purchase_Mite_To_Step_Price","Не определено","4","0.00333889816360601","2","0.4","0.8","0.4"
"Purchase_Mite_To_Step_YourData","Не определено","4","0.00333889816360601","2","0.4","0.8","0.4"
"Purchase_Mite_Type_List","Не определено","4","0.00333889816360601","2","0.4","0.8","0.4"
"Purchase_Mite_Yourdata_Open","Не определено","4","0.00333889816360601","2","0.4","0.8","0.4"
"Purchase_Pet_Start","Не определено","4","0.00333889816360601","1","0.2","0.8","0.2"
"Purchase_Sport_Yourdata_Open","Не определено","4","0.00333889816360601","2","0.4","0.8","0.4"
"Purchase_VZR_To_Step_2","Не определено","4","0.00333889816360601","2","0.4","0.8","0.4"
"Signup_start_YAID","Не определено","4","0.00333889816360601","1","0.2","0.8","0.2"
"Manage_View_Document_Sub","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Partner","Не определено","3","0.0025041736227045075","1","0.2","0.6","0.2"
"Partner_Promo","Не определено","3","0.0025041736227045075","1","0.2","0.6","0.2"
"Purchase_Flat_Confirm_Open","Не определено","3","0.0025041736227045075","3","0.6","0.6","0.6"
"Purchase_Flat_Docs_Open","Не определено","3","0.0025041736227045075","3","0.6","0.6","0.6"
"Purchase_Flat_Pay_Open","Не определено","3","0.0025041736227045075","3","0.6","0.6","0.6"
"Purchase_Flat_Payment_Success","Не определено","3","0.0025041736227045075","3","0.6","0.6","0.6"
"Purchase_Flat_To_Auth","Не определено","3","0.0025041736227045075","3","0.6","0.6","0.6"
"Purchase_Flat_To_Step_Confirm","Не определено","3","0.0025041736227045075","3","0.6","0.6","0.6"
"Purchase_Flat_To_Step_Docs","Не определено","3","0.0025041736227045075","3","0.6","0.6","0.6"
"Purchase_Flat_To_Step_Pay","Не определено","3","0.0025041736227045075","3","0.6","0.6","0.6"
"Purchase_House_Address_Open","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_Addrisk_Open","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_Buildtype_Open","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_Confirm_Open","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_Docs_Open","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_Map_Open","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_Pay_Open","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_Payment_Success","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_Period_Open","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_Risk_Open","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_To_Step_AddRisk","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_To_Step_Address","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_To_Step_Buildingtype","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_To_Step_Confirm","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_To_Step_Docs","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_To_Step_Pay","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_To_Step_Period","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_To_Step_Risk","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_To_Step_Yourdata","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_House_Yourdata_Open","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_Mite_Payment_Success","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_Pet_Addrisk_Open","Не определено","3","0.0025041736227045075","1","0.2","0.6","0.2"
"Purchase_Pet_Confirm_Open","Не определено","3","0.0025041736227045075","1","0.2","0.6","0.2"
"Purchase_Pet_Cover_Open","Не определено","3","0.0025041736227045075","1","0.2","0.6","0.2"
"Purchase_Pet_Period_Open","Не определено","3","0.0025041736227045075","1","0.2","0.6","0.2"
"Purchase_Pet_PetType_Open","Не определено","3","0.0025041736227045075","1","0.2","0.6","0.2"
"Purchase_Pet_Risk_Open","Не определено","3","0.0025041736227045075","1","0.2","0.6","0.2"
"Purchase_Pet_To_Step_AddRisk","Не определено","3","0.0025041736227045075","1","0.2","0.6","0.2"
"Purchase_Pet_To_Step_Confirm","Не определено","3","0.0025041736227045075","1","0.2","0.6","0.2"
"Purchase_Pet_To_Step_Coverage","Не определено","3","0.0025041736227045075","1","0.2","0.6","0.2"
"Purchase_Pet_To_Step_Period","Не определено","3","0.0025041736227045075","1","0.2","0.6","0.2"
"Purchase_Pet_To_Step_PetType","Не определено","3","0.0025041736227045075","1","0.2","0.6","0.2"
"Purchase_Pet_To_Step_Risk","Не определено","3","0.0025041736227045075","1","0.2","0.6","0.2"
"Purchase_Pet_Yourdata_Open","Не определено","3","0.0025041736227045075","1","0.2","0.6","0.2"
"Purchase_Sport_Itsme","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_Sport_Me_Tap","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_VZR_To_Step_1","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Purchase_VZR_Yourdata_Open","Не определено","3","0.0025041736227045075","2","0.4","0.6","0.4"
"Auth_Biometrics_agreed","Не определено","2","0.001669449081803005","2","0.4","0.4","0.4"
"Purchase_Pet_Docs_Open","Не определено","2","0.001669449081803005","1","0.2","0.4","0.2"
"Purchase_Pet_Pay_Open","Не определено","2","0.001669449081803005","1","0.2","0.4","0.2"
"Purchase_Pet_To_Step_Docs","Не определено","2","0.001669449081803005","1","0.2","0.4","0.2"
"Purchase_Pet_To_Step_Pay","Не определено","2","0.001669449081803005","1","0.2","0.4","0.2"
"Purchase_Sport_Docs_Open","Не определено","2","0.001669449081803005","1","0.2","0.4","0.2"
"Purchase_Sport_Pay_Open","Не определено","2","0.001669449081803005","1","0.2","0.4","0.2"
"Purchase_Sport_Payment_Success","Не определено","2","0.001669449081803005","1","0.2","0.4","0.2"
"Purchase_Sport_To_Step_Docs","Не определено","2","0.001669449081803005","1","0.2","0.4","0.2"
"Purchase_Sport_To_Step_Pay","Не определено","2","0.001669449081803005","1","0.2","0.4","0.2"
"VetHelp","Не определено","2","0.001669449081803005","2","0.4","0.4","0.4"
"VetHelp_Phone","Не определено","2","0.001669449081803005","2","0.4","0.4","0.4"
"Auth_First_Launch","Не определено","1","8.347245409015025E-4","1","0.2","0.2","0.2"
"Manage_Change_Payment_Method","Не определено","1","8.347245409015025E-4","1","0.2","0.2","0.2"
"Profile_Email","Не определено","1","8.347245409015025E-4","1","0.2","0.2","0.2"
"Profile_Payment_method","Не определено","1","8.347245409015025E-4","1","0.2","0.2","0.2"
"Profile_Phone_number","Не определено","1","8.347245409015025E-4","1","0.2","0.2","0.2"
"Purchase_House_To_Auth","Не определено","1","8.347245409015025E-4","1","0.2","0.2","0.2"
"Purchase_Mite_PriceList_Tap","Не определено","1","8.347245409015025E-4","1","0.2","0.2","0.2"
"Purchase_Pet_Payment_Decline","Не определено","1","8.347245409015025E-4","1","0.2","0.2","0.2"
"Purchase_Pet_Payment_Success","Не определено","1","8.347245409015025E-4","1","0.2","0.2","0.2"
"VetHelp_Video","Не определено","1","8.347245409015025E-4","1","0.2","0.2","0.2"
